Institution Name,City,State,Fall 2013 Enrollment
Dixie State University,Saint George,UT,8350
Slippery Rock University of Pennsylvania,Slippery Rock,PA,8347
Pontifical Catholic University of Puerto Rico-Ponce,Ponce,PR,8341
McNeese State University,Lake Charles,LA,8341
College of Southern Idaho,Twin Falls,ID,8330
University of San Diego,San Diego,CA,8321
CUNY York College,Jamaica,NY,8307
Humboldt State University,Arcata,CA,8293
Prairie View A & M University,Prairie View,TX,8283
Millersville University of Pennsylvania,Millersville,PA,8279
California University of Pennsylvania,California,PA,8243
Yavapai College,Prescott,AZ,8197
University of Houston-Clear Lake,Houston,TX,8164
Farmingdale State College,Farmingdale,NY,8162
Columbus State University,Columbus,GA,8156
Missouri University of Science and Technology,Rolla,MO,8129
SUNY College at Brockport,Brockport,NY,8128
SUNY College at Oswego,Oswego,NY,8117
North Carolina Central University,Durham,NC,8093
Post University,Waterbury,CT,8082
Indiana University-South Bend,South Bend,IN,8073
Creighton University,Omaha,NE,8019
Princeton University,Princeton,NJ,8014
Arizona Western College,Yuma,AZ,8000
Middle Georgia State College,Macon,GA,7989
Concordia University-Wisconsin,Mequon,WI,7943
Chapman University,Orange,CA,7892
Northwest Mississippi Community College,Senatobia,MS,7871
Illinois Institute of Technology,Chicago,IL,7850
Brandman University,Irvine,CA,7746
Southern Utah University,Cedar City,UT,7745
Strayer University-Virginia,Arlington,VA,7649
Adelphi University,Garden City,NY,7645
Gonzaga University,Spokane,WA,7605
Wake Forest University,Winston Salem,NC,7602
State University of New York at New Paltz,New Paltz,NY,7578
Shippensburg University of Pennsylvania,Shippensburg,PA,7548
Morgan State University,Baltimore,MD,7546
New York Institute of Technology,Old Westbury,NY,7545
The University of Texas at Tyler,Tyler,TX,7476
Mohawk Valley Community College,Utica,NY,7433
Texas A & M International University,Laredo,TX,7431
The University of Tennessee-Martin,Martin,TN,7423
Seattle University,Seattle,WA,7422
Colorado State University-Global Campus,Greenwood Village,CO,7402
Pittsburg State University,Pittsburg,KS,7400
Wharton County Junior College,Wharton,TX,7386
University of Alabama in Huntsville,Huntsville,AL,7376
The College of New Jersey,Ewing,NJ,7340
Olympic College,Bremerton,WA,7329
Pepperdine University,Malibu,CA,7315
Clayton State University,Morrow,GA,7261
The University of Tampa,Tampa,FL,7260
Monroe College,Bronx,NY,7215
University of Arkansas-Fort Smith,Fort Smith,AR,7170
Southern Maine Community College,South Portland,ME,7157
Everett Community College,Everett,WA,7154
California Baptist University,Riverside,CA,7144
SUNY College at Cortland,Cortland,NY,7110
Armstrong Atlantic State University,Savannah,GA,7101
Edinboro University of Pennsylvania,Edinboro,PA,7098
Lehigh University,Bethlehem,PA,7096
Trident University International,Cypress,CA,7093
Colorado State University-Pueblo,Pueblo,CO,7089
Genesee Community College,Batavia,NY,7079
University of Nebraska at Kearney,Kearney,NE,7052
Sacred Heart University,Fairfield,CT,6983
Michigan Technological University,Houghton,MI,6975
Washburn University,Topeka,KS,6973
University of North Alabama,Florence,AL,6931
Southwest Minnesota State University,Marshall,MN,6917
Belmont University,Nashville,TN,6915
Central Community College,Grand Island,NE,6906
Iowa Western Community College,Council Bluffs,IA,6861
University of Hartford,West Hartford,CT,6820
East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,6778
Southern University and A & M College,Baton Rouge,LA,6777
Central Oregon Community College,Bend,OR,6760
Beth Medrash Govoha,Lakewood,NJ,6754
Yeshiva University,New York,NY,6747
CUNY Graduate School and University Center,New York,NY,6736
Hawaii Pacific University,Honolulu,HI,6736
Indiana University-Southeast,New Albany,IN,6733
Norfolk State University,Norfolk,VA,6728
Catholic University of America,Washington,DC,6725
